listing_id,Count,new_date
2015,16,2018-12-01
2015,31,2019-01-01
2015,28,2019-02-01
2015,31,2019-03-01
2015,30,2019-04-01
2015,5,2019-05-01
3176,30,2019-04-01
3176,31,2019-05-01
3176,30,2019-06-01
3176,31,2019-07-01
3176,31,2019-08-01
3176,30,2019-09-01
3176,31,2019-10-01
3176,6,2019-11-01
3309,18,2019-01-01
3309,28,2019-02-01
3309,31,2019-03-01
3309,30,2019-04-01
3309,31,2019-05-01
3309,30,2019-06-01
3309,31,2019-07-01
3309,31,2019-08-01
3309,30,2019-09-01
3309,31,2019-10-01
3309,6,2019-11-01
7071,10,2018-11-01
7071,16,2018-12-01
9991,3,2018-12-01
9991,4,2019-01-01
9991,1,2019-06-01
9991,31,2019-07-01
9991,31,2019-08-01
9991,30,2019-09-01
9991,31,2019-10-01
9991,6,2019-11-01
14325,31,2019-07-01
14325,31,2019-08-01
14325,30,2019-09-01
14325,31,2019-10-01
14325,6,2019-11-01
16401,24,2018-11-01
16401,31,2018-12-01
16401,31,2019-01-01
16401,28,2019-02-01
16401,31,2019-03-01
16401,30,2019-04-01
16401,31,2019-05-01
16401,30,2019-06-01
16401,31,2019-07-01
16401,31,2019-08-01
16401,30,2019-09-01
16401,31,2019-10-01
16401,6,2019-11-01
16644,30,2019-06-01
16644,31,2019-07-01
16644,31,2019-08-01
16644,30,2019-09-01
16644,31,2019-10-01
16644,6,2019-11-01
17409,7,2018-11-01
17409,7,2018-12-01
17409,24,2019-01-01
17409,4,2019-02-01
17904,8,2018-11-01
17904,5,2018-12-01
17904,12,2019-01-01
17904,20,2019-02-01
17904,26,2019-03-01
17904,11,2019-04-01
17904,16,2019-05-01
17904,30,2019-06-01
17904,31,2019-07-01
17904,6,2019-08-01
17904,30,2019-09-01
17904,31,2019-10-01
17904,6,2019-11-01
20858,10,2018-11-01
20858,31,2018-12-01
20858,31,2019-01-01
20858,28,2019-02-01
20858,31,2019-03-01
20858,30,2019-04-01
20858,5,2019-05-01
21869,31,2019-07-01
21869,31,2019-08-01
21869,30,2019-09-01
21869,31,2019-10-01
21869,6,2019-11-01
22415,4,2018-12-01
22415,2,2019-01-01
22415,31,2019-03-01
22415,30,2019-04-01
22415,31,2019-05-01
22415,30,2019-06-01
22415,31,2019-07-01
22415,31,2019-08-01
22415,30,2019-09-01
22415,31,2019-10-01
22415,6,2019-11-01
22677,5,2018-11-01
22677,11,2018-12-01
22677,28,2019-01-01
22677,28,2019-02-01
22677,31,2019-03-01
22677,30,2019-04-01
22677,31,2019-05-01
22677,30,2019-06-01
22677,31,2019-07-01
22677,3,2019-08-01
23834,24,2019-02-01
23834,31,2019-03-01
23834,30,2019-04-01
23834,31,2019-05-01
23834,30,2019-06-01
23834,31,2019-07-01
23834,31,2019-08-01
23834,30,2019-09-01
23834,31,2019-10-01
23834,6,2019-11-01
24569,2,2018-11-01
24569,1,2018-12-01
25653,2,2019-04-01
25653,3,2019-07-01
25653,4,2019-10-01
25653,6,2019-11-01
26543,12,2018-11-01
26543,15,2018-12-01
26543,30,2019-01-01
26543,28,2019-02-01
26543,31,2019-03-01
26543,30,2019-04-01
26543,31,2019-05-01
26543,30,2019-06-01
26543,31,2019-07-01
26543,31,2019-08-01
26543,30,2019-09-01
26543,31,2019-10-01
26543,6,2019-11-01
28156,1,2019-04-01
28156,31,2019-05-01
28156,30,2019-06-01
28156,31,2019-07-01
28156,31,2019-08-01
28156,30,2019-09-01
28156,31,2019-10-01
28156,6,2019-11-01
28268,20,2019-03-01
28268,30,2019-04-01
28268,5,2019-05-01
28711,13,2018-11-01
28711,20,2018-12-01
28711,29,2019-01-01
28711,28,2019-02-01
28711,31,2019-03-01
28711,30,2019-04-01
28711,31,2019-05-01
28711,30,2019-06-01
28711,31,2019-07-01
28711,31,2019-08-01
28711,30,2019-09-01
28711,31,2019-10-01
28711,6,2019-11-01
29279,1,2018-12-01
29279,30,2019-04-01
29279,31,2019-05-01
29279,30,2019-06-01
29279,31,2019-07-01
29279,31,2019-08-01
29279,30,2019-09-01
29279,31,2019-10-01
29279,6,2019-11-01
30295,7,2018-11-01
30295,3,2018-12-01
30295,26,2019-01-01
30295,28,2019-02-01
30295,31,2019-03-01
30295,24,2019-04-01
30295,28,2019-05-01
30295,20,2019-06-01
30295,31,2019-07-01
30295,31,2019-08-01
30295,30,2019-09-01
30295,31,2019-10-01
30295,6,2019-11-01
31440,20,2018-11-01
31440,31,2018-12-01
31440,31,2019-01-01
31440,28,2019-02-01
31440,31,2019-03-01
31440,30,2019-04-01
31440,31,2019-05-01
31440,30,2019-06-01
31440,31,2019-07-01
31440,31,2019-08-01
31440,30,2019-09-01
31440,31,2019-10-01
31440,6,2019-11-01
33043,12,2018-11-01
33043,25,2018-12-01
33043,30,2019-01-01
33043,28,2019-02-01
33043,31,2019-03-01
33043,30,2019-04-01
33043,31,2019-05-01
33043,27,2019-06-01
33043,31,2019-07-01
33043,31,2019-08-01
33043,30,2019-09-01
33043,31,2019-10-01
33043,6,2019-11-01
35642,2,2018-11-01
35642,31,2018-12-01
35642,31,2019-01-01
35642,19,2019-02-01
35642,6,2019-11-01
36480,17,2018-11-01
36480,24,2018-12-01
36480,5,2019-01-01
36480,31,2019-03-01
36480,30,2019-04-01
36480,31,2019-05-01
36480,30,2019-06-01
36480,31,2019-07-01
36480,31,2019-08-01
36480,30,2019-09-01
36480,31,2019-10-01
36480,6,2019-11-01
37004,4,2018-11-01
37004,21,2018-12-01
37004,25,2019-01-01
37004,28,2019-02-01
37004,31,2019-03-01
37004,30,2019-04-01
37004,31,2019-05-01
37004,30,2019-06-01
37004,31,2019-07-01
37004,31,2019-08-01
37004,30,2019-09-01
37004,31,2019-10-01
37004,6,2019-11-01
37052,7,2018-12-01
37052,18,2019-01-01
37836,1,2018-11-01
37836,25,2019-01-01
37836,28,2019-02-01
37836,31,2019-03-01
37836,30,2019-04-01
37836,5,2019-05-01
38074,1,2019-03-01
38074,30,2019-04-01
38074,31,2019-05-01
38074,30,2019-06-01
38074,31,2019-07-01
38074,31,2019-08-01
38074,30,2019-09-01
38074,31,2019-10-01
38074,6,2019-11-01
38296,31,2019-01-01
38296,28,2019-02-01
38296,31,2019-03-01
38296,30,2019-04-01
38296,31,2019-05-01
38296,30,2019-06-01
38296,31,2019-07-01
38296,31,2019-08-01
38296,30,2019-09-01
38296,31,2019-10-01
38296,6,2019-11-01
42742,1,2019-01-01
42742,26,2019-04-01
42742,31,2019-05-01
42742,30,2019-06-01
42742,31,2019-07-01
42742,31,2019-08-01
42742,30,2019-09-01
42742,31,2019-10-01
42742,6,2019-11-01
42809,6,2018-11-01
42809,5,2018-12-01
42809,30,2019-01-01
42809,15,2019-02-01
42809,20,2019-03-01
42809,24,2019-04-01
42809,31,2019-05-01
42809,30,2019-06-01
42809,31,2019-07-01
42809,26,2019-08-01
42809,30,2019-09-01
42809,31,2019-10-01
42809,6,2019-11-01
43123,27,2019-05-01
43123,30,2019-06-01
43123,31,2019-07-01
43123,31,2019-08-01
43123,30,2019-09-01
43123,31,2019-10-01
43123,6,2019-11-01
44083,17,2018-11-01
44083,13,2018-12-01
44083,31,2019-01-01
44083,4,2019-02-01
44423,20,2018-11-01
44423,11,2018-12-01
44423,1,2019-05-01
46172,13,2019-02-01
46172,31,2019-03-01
46172,30,2019-04-01
46172,31,2019-05-01
46172,30,2019-06-01
46172,31,2019-07-01
46172,31,2019-08-01
46172,30,2019-09-01
46172,31,2019-10-01
46172,6,2019-11-01
47938,2,2018-12-01
47938,1,2019-01-01
47938,28,2019-02-01
47938,1,2019-03-01
48955,31,2019-07-01
48955,31,2019-08-01
48955,30,2019-09-01
48955,31,2019-10-01
48955,6,2019-11-01
54952,7,2018-11-01
54952,23,2018-12-01
54952,3,2019-01-01
55298,24,2018-11-01
55298,31,2018-12-01
55298,31,2019-01-01
55298,28,2019-02-01
55298,31,2019-03-01
55298,30,2019-04-01
55298,31,2019-05-01
55298,30,2019-06-01
55298,31,2019-07-01
55298,31,2019-08-01
55298,30,2019-09-01
55298,31,2019-10-01
55298,6,2019-11-01
55455,30,2019-09-01
55455,31,2019-10-01
55455,6,2019-11-01
55853,5,2018-11-01
55853,1,2019-01-01
55853,28,2019-02-01
55853,31,2019-03-01
55853,30,2019-04-01
55853,31,2019-05-01
55853,30,2019-06-01
55853,31,2019-07-01
55853,31,2019-08-01
55853,30,2019-09-01
55853,31,2019-10-01
55853,6,2019-11-01
57049,2,2019-02-01
57049,31,2019-03-01
57049,30,2019-04-01
57049,5,2019-05-01
57209,4,2018-11-01
57209,7,2018-12-01
57209,22,2019-01-01
57209,16,2019-02-01
57209,23,2019-03-01
57209,28,2019-04-01
57209,9,2019-05-01
57209,26,2019-06-01
57209,31,2019-07-01
57209,31,2019-08-01
57209,30,2019-09-01
57209,31,2019-10-01
57209,6,2019-11-01
58041,11,2018-11-01
58041,31,2018-12-01
58041,31,2019-01-01
58041,28,2019-02-01
58041,31,2019-03-01
58041,30,2019-04-01
58041,31,2019-05-01
58041,30,2019-06-01
58041,31,2019-07-01
58041,31,2019-08-01
58041,30,2019-09-01
58041,31,2019-10-01
58041,6,2019-11-01
58780,1,2018-12-01
58780,4,2019-01-01
58780,7,2019-02-01
58780,14,2019-04-01
58780,26,2019-05-01
58780,30,2019-06-01
58780,31,2019-07-01
58780,31,2019-08-01
58780,30,2019-09-01
58780,31,2019-10-01
58780,6,2019-11-01
59249,9,2018-11-01
59249,8,2018-12-01
59249,6,2019-01-01
59249,28,2019-02-01
59249,2,2019-03-01
59249,25,2019-06-01
59249,4,2019-08-01
59249,30,2019-09-01
59249,31,2019-10-01
59249,6,2019-11-01
60161,23,2018-11-01
60161,28,2018-12-01
60161,31,2019-01-01
60161,4,2019-02-01
63052,6,2018-11-01
63052,31,2018-12-01
63052,31,2019-01-01
63052,28,2019-02-01
63052,31,2019-03-01
63052,30,2019-04-01
63052,31,2019-05-01
63052,30,2019-06-01
63052,31,2019-07-01
63052,31,2019-08-01
63052,30,2019-09-01
63052,31,2019-10-01
63052,6,2019-11-01
63468,4,2018-11-01
63468,18,2018-12-01
63468,26,2019-01-01
63468,28,2019-02-01
63468,27,2019-03-01
63468,30,2019-04-01
63468,31,2019-05-01
63468,30,2019-06-01
63468,31,2019-07-01
63468,31,2019-08-01
63468,30,2019-09-01
63468,31,2019-10-01
63468,6,2019-11-01
64245,29,2019-01-01
64245,28,2019-02-01
64245,31,2019-03-01
64245,30,2019-04-01
64245,5,2019-05-01
68142,3,2018-11-01
68142,13,2018-12-01
68142,7,2019-01-01
68142,30,2019-04-01
68142,5,2019-05-01
68448,12,2018-11-01
68448,10,2018-12-01
68448,17,2019-01-01
68448,28,2019-02-01
68448,31,2019-03-01
68448,27,2019-04-01
68448,31,2019-05-01
68448,30,2019-06-01
68448,31,2019-07-01
68448,31,2019-08-01
68448,30,2019-09-01
68448,31,2019-10-01
68448,6,2019-11-01
72079,18,2018-11-01
72079,25,2018-12-01
72079,27,2019-01-01
72079,28,2019-02-01
72079,31,2019-03-01
72079,30,2019-04-01
72079,31,2019-05-01
72079,30,2019-06-01
72079,31,2019-07-01
72079,31,2019-08-01
72079,30,2019-09-01
72079,31,2019-10-01
72079,6,2019-11-01
73302,2,2018-12-01
73302,23,2019-01-01
73302,20,2019-02-01
73302,28,2019-03-01
73302,22,2019-04-01
73302,24,2019-05-01
73302,26,2019-06-01
73302,30,2019-07-01
73302,3,2019-08-01
74614,23,2018-11-01
74614,27,2018-12-01
74614,30,2019-01-01
74614,28,2019-02-01
74614,31,2019-03-01
74614,30,2019-04-01
74614,31,2019-05-01
74614,30,2019-06-01
74614,31,2019-07-01
74614,31,2019-08-01
74614,30,2019-09-01
74614,31,2019-10-01
74614,6,2019-11-01
80843,16,2018-11-01
80843,12,2018-12-01
81049,6,2018-11-01
81049,6,2018-12-01
81049,29,2019-01-01
81049,20,2019-02-01
81049,31,2019-03-01
81049,26,2019-04-01
81049,24,2019-05-01
81049,19,2019-06-01
81049,31,2019-07-01
81049,31,2019-08-01
81049,26,2019-09-01
81049,31,2019-10-01
81049,6,2019-11-01
81081,7,2018-11-01
81081,5,2018-12-01
81081,1,2019-01-01
81081,25,2019-02-01
