listing_id,sentiment
2015,90
2695,6
3176,133
3309,20
7071,177
9991,4
14325,20
16644,43
17409,213
17904,189
20858,42
21869,55
22415,54
22677,186
23834,70
24569,14
25653,3
26543,129
28156,27
28268,22
28711,1
29279,55
30295,199
31440,9
33043,97
35642,0
36480,20
37004,19
37052,278
37836,142
38074,79
38296,5
40600,47
41217,62
41306,1
42742,19
42809,99
43123,59
44083,10
44423,89
46161,133
46172,31
47938,32
52734,4
54952,136
55455,1
55853,7
57049,58
57209,128
57792,1
58041,64
58780,28
59249,69
60161,1
63052,78
63468,63
64245,38
64590,29
68142,64
68448,159
72079,29
73302,150
74614,40
80843,39
81049,34
81081,198
82893,45
83183,130
83568,1
83614,234
85560,34
86514,41
87549,128
89102,53
91290,41
102882,93
106290,128
106331,84
107968,53
109658,62
111579,97
114763,39
115576,2
116832,2
117649,68
121888,4
125349,14
127708,368
128827,15
135097,90
138955,156
139769,201
143605,36
145249,79
147946,30
149849,39
151249,6
153015,102
155048,3
156010,68
157546,38
157839,199
158890,3
159454,37
160517,4
161425,80
163287,64
163411,12
167189,320
168615,5
169603,21
169907,9
170582,11
170652,4
170974,41
171746,61
173153,28
174391,0
174547,25
174560,45
174576,30
174579,61
175667,5
176342,11
176355,11
176396,8
176852,0
177486,28
178347,62
179102,87
180440,13
181160,341
183206,345
183918,12
183988,262
183996,29
185960,11
186851,39
186908,0
186999,3
187206,147
187326,40
188565,0
188922,11
189288,42
189596,69
190448,3
191023,34
192050,17
192052,183
192103,215
192499,342
193625,288
194374,25
194465,110
194546,67
194694,75
195467,4
196149,236
196285,84
197291,16
198584,2
198896,7
201224,158
203634,87
204609,105
204617,-1
206021,4
206454,13
207740,6
209649,23
210734,187
214491,127
214518,5
214784,167
214855,142
220445,11
220808,14
221015,300
222784,161
223622,6
226925,1
227072,20
228964,17
229075,34
229099,168
229348,31
229363,24
229776,93
230611,3
230824,104
231220,14
231598,47
231853,6
233083,25
233453,28
233770,7
235766,37
236509,22
236552,259
237038,114
237359,3
237670,3
238275,2
238396,299
238569,65
239139,89
239314,41
240169,104
240735,11
242366,52
242794,37
242927,0
242978,41
243057,18
243063,139
243081,114
243238,41
244425,122
244924,35
245744,70
245809,20
245827,44
245991,1
246007,4
248192,71
248375,9
249220,3
249419,127
250007,84
250023,25
250067,2
250121,6
250138,3
250171,4
250253,12
250376,88
250684,7
250687,22
250704,10
250707,2
250729,0
250753,4
251398,14
251548,27
252664,44
252699,2
252933,74
252967,25
252993,85
253005,21
253128,54
254576,5
254762,74
254788,77
255557,73
255722,48
255778,110
255829,26
256058,59
257317,47
257373,93
257658,182
257766,62
260095,22
260104,9
261452,59
261834,112
263817,2
264459,350
265286,1
265354,2
265389,1
265394,3
265400,1
265402,8
265408,4
265416,50
265433,22
265444,56
265955,9
266086,3
266181,27
267399,37
267764,67
267951,35
268910,9
268967,37
268974,11
269455,1
270477,147
271340,46
271739,159
273011,44
273076,5
273106,11
274072,100
274623,23
274686,20
274798,72
275472,33
276044,78
277653,37
278860,49
279315,3
279344,36
279504,72
282773,10
282786,10
282797,6
284390,3
288484,6
290410,16
292300,9
292864,376
295675,25
297521,17
297594,13
298056,13
301773,46
301887,85
302167,44
303097,25
304904,132
305987,155
306041,82
306312,133
306502,3
306829,22
307587,8
308421,3
309511,9
311703,97
313876,1
315533,37
316327,113
316366,2
316462,203
316547,69
320028,21
320279,46
320305,81
321295,127
321308,24
321378,109
322463,204
322520,200
323243,36
323250,45
323255,85
323259,107
323260,121
323920,1
323951,1
325979,12
326566,29
326608,14
327442,9
327773,18
328255,27
329648,7
334133,109
335273,5
336482,16
341910,192
342637,69
343190,35
344856,120
344986,110
345373,0
346404,66
347762,64
348262,15
352998,27
354033,3
355227,1
355494,65
357984,50
358746,51
359917,180
361487,93
362701,270
362874,7
363413,14
363454,148
366094,10
367182,15
367634,8
370561,26
377304,1
380281,38
380384,7
382008,65
385059,187
387607,10
393598,37
395063,13
398011,22
398962,14
399312,22
400642,5
400832,70
400898,110
401242,33
404175,10
408756,115
409846,10
410020,6
412418,9
414277,12
415218,7
417143,20
420114,48
421236,2
425411,85
425487,59
427854,27
431149,16
431343,18
431652,73
432460,18
432938,8
434209,13
436385,8
439613,6
439631,10
446975,103
450325,50
452164,5
456839,8
456902,189
458586,38
458608,12
458800,9
462459,8
464324,20
466983,59
469084,15
471495,5
473386,52
474830,74
476077,13
477515,82
477744,118
478015,29
480624,207
484506,6
485726,58
486192,38
487938,10
488161,55
491336,39
493072,148
493539,190
494492,10
495435,2
499342,224
499353,205
500641,127
501735,4
502598,5
506730,3
507671,45
507770,4
509432,37
510715,0
510987,9
511935,48
512476,90
514246,13
515145,80
517425,354
519356,0
519671,28
520538,48
523052,2
525162,2
530315,9
530527,225
532687,7
533155,77
533523,157
533864,37
534415,1
537442,65
538871,3
540705,261
541020,8
541288,2
541569,116
542316,1
542674,25
544553,22
545037,2
545065,7
550445,9
550621,2
550727,6
551644,14
552927,65
555352,1
556691,3
559210,1
559794,6
560578,6
563505,22
564821,104
565345,14
566841,15
568307,83
570055,14
570153,28
571074,29
571751,320
573171,256
573259,4
574657,6
577552,2
