id,harvesine_distance,host_response_rate,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people
2015,5973.5099446051245,0.96,,60.00,,,200.00,30.00,28.00
2695,5975.037134330042,,,17.00,,,0.00,0.00,0.00
3176,5973.851107268351,1.0,720.0,90.00,520.00,1900.00,200.00,50.00,20.00
3309,5968.670227418156,,0.0,26.00,175.00,599.00,250.00,30.00,18.00
7071,5974.671766084101,1.0,,42.00,,,0.00,0.00,24.00
9991,5973.611988281856,1.0,,180.00,650.00,,400.00,80.00,10.00
14325,5974.985790128726,1.0,,70.00,420.00,820.00,500.00,0.00,0.00
16401,5972.029870567344,,,120.00,,,,,13.00
16644,5970.976493374607,1.0,0.0,90.00,520.00,1440.00,500.00,50.00,20.00
17409,5973.127940900256,1.0,,45.00,281.00,955.00,0.00,18.00,26.00
17904,5969.725486408812,,,49.00,290.00,990.00,0.00,50.00,15.00
20858,5973.865531732093,1.0,,129.00,920.00,3200.00,500.00,49.00,24.00
21869,5970.747865053274,1.0,,70.00,420.00,1250.00,500.00,40.00,18.00
22415,5969.789148881599,0.75,0.0,98.00,900.00,3000.00,300.00,50.00,25.00
22677,5973.548552159365,1.0,753.0,160.00,,,150.00,40.00,35.00
23834,5968.292521319191,0.8,,65.00,,,500.00,50.00,0.00
24569,5973.413133538108,1.0,,90.00,600.00,,200.00,35.00,5.00
25653,5973.3833916847925,1.0,,90.00,600.00,,200.00,55.00,5.00
26543,5974.8904886551145,,1012.0,197.00,,2800.00,250.00,50.00,40.00
28156,5974.857105062157,1.0,,70.00,420.00,850.00,1660.00,,0.00
28268,5972.572006045612,,0.0,90.00,500.00,1500.00,200.00,50.00,20.00
28711,5968.981372508016,0.74,,60.00,,,,30.00,10.00
29279,5974.697063221406,1.0,,130.00,750.00,1380.00,1500.00,80.00,0.00
30295,5975.112457102015,1.0,,100.00,,2500.00,,40.00,20.00
31440,5974.80782547913,0.9,,44.00,210.00,600.00,100.00,15.00,15.00
33043,5971.2293859071715,1.0,0.0,62.00,450.00,1400.00,0.00,20.00,8.00
35642,5975.393471839408,,0.0,55.00,,1300.00,1000.00,50.00,10.00
36480,5969.979354793488,1.0,,40.00,200.00,,500.00,5.00,20.00
37004,5968.393687012699,,646.0,25.00,300.00,900.00,0.00,0.00,15.00
37052,5973.942406067551,1.0,0.0,52.00,380.00,1200.00,100.00,30.00,12.00
37836,5970.401784673369,0.9,0.0,39.00,280.00,1000.00,,20.00,19.00
38074,5974.196909428268,,,80.00,,,500.00,,0.00
38296,5968.736881357747,0.5,,80.00,250.00,1000.00,500.00,35.00,0.00
40600,5968.952668485838,,215.0,50.00,,,100.00,,15.00
41217,5973.898896042407,,,43.00,,,,,13.00
41306,5973.4638069519715,,452.0,40.00,,600.00,,,0.00
42742,5970.213680913341,0.9,,36.00,260.00,900.00,,20.00,19.00
42809,5972.113876034056,1.0,,119.00,1137.00,,,45.00,10.00
43123,5974.156561637778,1.0,,90.00,525.00,1850.00,300.00,50.00,20.00
44083,5969.556346500931,0.86,807.0,42.00,300.00,1000.00,1000.00,20.00,10.00
44423,5971.827291557399,,,56.00,,,300.00,25.00,10.00
46161,5973.4388470749,,,50.00,301.00,,,,10.00
46172,5973.94288578842,1.0,474.0,48.00,,1100.00,500.00,50.00,0.00
47938,5973.597078403443,1.0,,160.00,,2500.00,,50.00,0.00
48955,5974.0494088710175,,431.0,70.00,,,,,0.00
52734,5972.092659248196,,,88.00,450.00,1300.00,,45.00,15.00
54952,5972.049795013515,,,55.00,,,90.00,10.00,10.00
55298,5968.478976163364,1.0,,88.00,,,,10.00,0.00
55455,5972.152341201411,,323.0,90.00,550.00,2000.00,,25.00,0.00
55853,5968.05070837973,,,55.00,350.00,1150.00,500.00,100.00,10.00
57049,5974.960952902621,1.0,,200.00,,,1500.00,60.00,20.00
57209,5973.684404252141,1.0,,80.00,399.00,1500.00,250.00,75.00,15.00
57792,5960.427504210668,,,49.00,290.00,840.00,1200.00,50.00,10.00
58041,5972.556130363719,1.0,,55.00,,,2400.00,70.00,0.00
58780,5973.944685941176,,0.0,130.00,,,300.00,39.00,15.00
59249,5974.32039852651,1.0,,90.00,525.00,1850.00,300.00,50.00,20.00
60161,5961.805918037814,,1615.0,120.00,840.00,2500.00,200.00,50.00,25.00
63052,5967.146290961734,1.0,,37.00,,,400.00,25.00,10.00
63468,5970.7900110018345,1.0,,52.00,,,0.00,30.00,8.00
64245,5974.857199095523,,,44.00,200.00,610.00,150.00,15.00,18.00
64590,5969.713932554778,,775.0,102.00,580.00,,200.00,30.00,25.00
68142,5973.482736485367,0.9,0.0,29.00,,,85.00,15.00,15.00
68448,5975.395860907587,,0.0,84.00,,,200.00,,10.00
72079,5969.03545305837,,495.0,80.00,440.00,1200.00,200.00,60.00,20.00
